date,google_retail_and_recreation,google_grocery,google_park,google_station,google_workplace,google_residential
2020-02-15,-1,4,7,1,4,0
2020-02-16,-9,-6,-35,-10,-2,2
2020-02-17,-2,1,-5,-1,0,1
2020-02-18,1,2,1,-2,0,1
2020-02-19,0,2,8,-3,0,0
2020-02-20,1,4,4,-3,0,0
2020-02-21,-1,2,7,-2,0,1
2020-02-22,-5,1,-10,-3,-1,2
2020-02-23,1,3,16,2,0,0
2020-02-24,18,4,54,-27,-55,14
2020-02-25,0,7,0,-2,1,1
2020-02-26,-4,3,-5,-5,1,1
2020-02-27,-3,6,-4,-7,0,1
2020-02-28,-2,14,-4,-10,1,2
2020-02-29,-10,9,-22,-21,3,4
2020-03-01,-10,9,-1,-23,1,4
2020-03-02,-10,3,-15,-15,-2,4
2020-03-03,-2,9,11,-15,-2,4
2020-03-04,-12,-2,-21,-19,-4,5
2020-03-05,-9,3,-8,-18,-4,4
2020-03-06,-9,2,5,-18,-4,5
2020-03-07,-12,2,-8,-24,-4,5
2020-03-08,-17,-4,-35,-31,-5,6
2020-03-09,-7,2,11,-15,-3,4
2020-03-10,-9,-3,-28,-18,-5,6
2020-03-11,-3,4,13,-16,-4,3
2020-03-12,-3,5,16,-15,-4,3
2020-03-13,-5,3,10,-17,-4,5
2020-03-14,-14,-4,-39,-27,-7,7
2020-03-15,-7,5,9,-21,-3,3
2020-03-16,-7,0,-7,-15,-3,4
2020-03-17,-1,4,14,-15,-4,4
2020-03-18,-3,3,20,-14,-4,3
2020-03-19,4,6,17,-10,-4,2
2020-03-20,7,6,40,-34,-54,17
2020-03-21,-6,5,34,-15,-7,3
2020-03-22,-9,1,18,-18,-3,3
2020-03-23,-4,0,11,-13,-3,3
2020-03-24,0,3,14,-13,-4,4
2020-03-25,2,8,31,-11,-4,2
2020-03-26,0,13,26,-13,-5,3
2020-03-27,-10,3,-9,-19,-7,6
2020-03-28,-18,1,-23,-33,-8,7
2020-03-29,-26,-7,-25,-41,-9,7
2020-03-30,-7,4,-2,-20,-8,5
2020-03-31,-4,7,9,-20,-7,5
2020-04-01,-20,-5,-29,-25,-10,7
2020-04-02,-12,6,13,-23,-10,6
2020-04-03,-14,6,26,-25,-11,7
2020-04-04,-21,6,26,-35,-12,8
2020-04-05,-25,2,3,-43,-13,8
2020-04-06,-13,7,15,-24,-11,7
2020-04-07,-12,6,17,-27,-13,8
2020-04-08,-22,2,16,-34,-16,9
2020-04-09,-24,2,8,-36,-17,10
2020-04-10,-26,4,0,-38,-18,12
2020-04-11,-30,4,3,-48,-22,12
2020-04-12,-40,-9,-35,-58,-22,12
2020-04-13,-38,-15,-45,-45,-20,13
2020-04-14,-23,5,10,-41,-20,12
2020-04-15,-24,7,17,-41,-21,11
2020-04-16,-27,5,9,-43,-22,12
2020-04-17,-31,4,-1,-46,-23,14
2020-04-18,-48,-14,-47,-60,-26,16
2020-04-19,-40,-3,1,-53,-23,11
2020-04-20,-37,-8,-33,-47,-23,14
2020-04-21,-31,1,8,-46,-25,14
2020-04-22,-36,-4,-3,-48,-26,14
2020-04-23,-36,-3,-4,-48,-26,15
2020-04-24,-37,-1,-8,-48,-26,16
2020-04-25,-41,-3,-9,-53,-26,14
2020-04-26,-45,-9,-16,-58,-27,12
2020-04-27,-35,-5,-9,-47,-26,15
2020-04-28,-28,2,4,-46,-27,14
